SP500,Gas,Nasdaq
2262.53,3.71,5457.44
2270.76,3.71,5483.94
2265.18,3.71,5471.43
2260.96,3.41,5447.42
2263.79,3.42,5462.69
.,3.42,.
2268.88,3.38,5487.44
2249.92,3.14,5438.56
2249.26,3.21,5432.09
2238.83,3.27,5383.12
.,3.36,.
2257.83,3.36,5429.08
2270.75,3.36,5477
2269,3.37,5487.94
2276.98,3.26,5521.06
2268.9,3.25,5531.82
2268.9,3.23,5551.82
2275.32,3.16,5563.65
2270.44,3.16,5547.49
2274.64,3.26,5574.12
.,3.44,.
2267.89,3.31,5538.73
2271.89,3.22,5555.65
2263.69,3,5540.08
2271.31,3.15,5555.33
2265.2,3.13,5552.94
2280.07,3.13,5600.96
2298.37,2.92,5656.34
2296.68,3.03,5655.18
2294.69,3.05,5660.78
2280.9,3.11,5613.71
2278.87,3.11,5614.79
2279.55,2.93,5642.65
2280.85,2.85,5636.2
2297.42,2.95,5666.77
2292.56,2.88,5663.55
2293.08,2.75,5674.22
2294.67,2.75,5682.45
2307.87,2.56,5715.18
2316.1,2.52,5734.13
2328.25,2.63,5763.96
2337.58,2.63,5782.57
2349.25,2.44,5819.44
2347.22,2.54,5814.9
2351.16,2.54,5838.58
.,2.59,.
2365.38,2.5,5865.95
2362.82,2.68,5860.63
2363.81,2.68,5835.51
2367.34,2.59,5845.31
2369.75,2.83,5861.9
2363.64,2.98,5825.44
2395.96,3.04,5904.03
2381.92,3.02,5861.22
2383.12,3.02,5870.75
2375.31,2.84,5849.17
2368.39,2.85,5833.93
2362.98,2.93,5837.55
2364.87,3.09,5838.81
2372.6,3.02,5861.73
2373.47,2.93,5875.78
2365.45,2.97,5856.82
2385.26,2.94,5900.05
2381.38,2.95,5900.76
2378.25,3.03,5901
2373.47,3.08,5901.53
2344.02,3.13,5793.83
2348.45,3.13,5821.64
2345.96,3.06,5817.69
2343.98,3.22,5828.74
2341.59,3.23,5840.37
2358.57,3.23,5875.14
2361.13,3.15,5897.55
